name,ascencion_document_number,ascencion_document_date,ascencion_year,photo_url,birth_date,birth_place,death_date,death_place,burial_place,description
Abdul Muis ,No Sk 218  Tahun  1959,30  Agustus 1959,1959,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/1.jpg,3 Juli 1883,"Sungai Puar, Agam,Sumatera Barat",17 Juni 1959,"Bandung, Jawa Barat","Cikutra,   Bandung","Seorang sastrawan, politikus, dan wartawan Indonesia. Dia merupakan pengurus besar Sarekat Islam dan pernah menjadi anggota Volksraad mewakili organisasi tersebut.Ia membantu harian De Express untuk menulis karangan yang menangkis penghinaan terhadap bangsanya Tahun 1916 ia bersama Agus Salim memimpin majalah “Neraca”, dan juga menjadi Pemimpin Redaksi Harian Kaoem Moeda.Abdul Muis juga terkenal pula pandai berdebat dan berpidato. Tahun 1913, ia kemudian masuk menjadi anggota Serekat Islam (SI), menjadi ketua SI cabang Bandung, dan menjadi anggota pimpinan sentral kommite pengurus pusat SI. Abdul Muis juga merupakan anggota Volksrad.Karya-karya Abdul Muis diantaranya adalah “Salah Asuhan” (1928), “Surapati” (1950), “Robert anak Surapati” (1953), “Pertemuan Jodoh”, “Daman Brandal”, “Sabai nan Alui” (Cerita Rakyat Minangkabau), dan contah Surat Menyurat. Abdul Muis merupakan Sastrawan, Politisi, Wartawan Indonesia. Pendorong berdirinya Technische Hooge School (ITB, Institut Teknologi Bandung) Ketua Pengurus Besar Perkumpulan Buruh Pegadaian. Pendiri Persatuan Perjuang."
Ki Hajar Dewantara ,No Sk 305  Tahun  1959,28  November  1959,1959,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/2.jpg,2 Mei 1889,"Yogyakarta, Indonesia",26 April 1959,"Yogyakarta,Indonesia","Tahunan, Umbul Harjo, Yogyakarta","Bapak Pendidikan Nasional Indonesia . Menteri Pendidikan Nasional Pertama. Pendiri Taman Siswa, Aktivis Pergerakan Kemerdekaan RI. Tanggal kelahirannya diperingati sebagai Hari Pendidikan NasionalPada tahun 1913 ia  menulis brosur “Als ik een Nederlander was” (Andai kata saya seorang Belanda) isinya kecaman terhadap maksud pemerintah Belanda mengadakan perayaan serratus tahun bebasnya negeri Belanda dari penjajahan Perancis. Karena penentangannya kepada pemerintahan Hindia Belanda, ia diasingkan oleh ke negeri Belanda.Pada tanggal 3 Juli 1922 ia mendirikan perguruan Taman Siswa, melalui perguruan ini ia berusaha menanamkan rasa kebangsaan di hati anak didik. Ia yakin bahwa antara pendidikan dan Gerakan politik terdapat hubungan yang erat."
R.M. Surjopranoto ,No Sk 310  Tahun  1959,30  November  1959,1959,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/3.jpg,11 Januari 1871,"Yogyakarta, Indonesia",15 Oktober 1959,"Cimahi,Jawa Barat","Gambiran, Umbul Harjo, Yogyakarta","Sosok  pejuang yang berani membela rakyat pribumi  dalam melawan penjajah dalam menuntut haknya.Sosok pejuang yang dikenal dengan sebutan de stakingskoning  (raja mogok),  pemimpin pemogokan buruh menentang kebijakan pemerintah kolonial.Sosok pejuang yang rela berhenti dari pegawai negeri, demi memperjuangakan hak rakyat.Sosok pejuang yang  mencurahkan  seluruh waktu dan  perhatiannya untuk membela rakyat kecil yang tertindas akibat penjajahan.Raden Mas Surjopranoto Surjopranoto pada 1915, membentuk organiasasi buruh  Adhi Dharma. Pada  1918, membentuk gerakan Prawiro Padjojo ing Joedo  atau Arbeidsleger  (tentara buruh),   Selain itu Radem Mas Surjopanoto juga mendirikan Personeel Fabriek Bond (PFB) yang beranggotakan kalangan buruh, kumpulan petani dan koperasi.Pada kongres SI 1919 di Surabaya,  Ia berpandangan, bahwa perjuangan buruh tidak selalu harus dengan senjata, namun  dapat pula dijalankan dengan paksaan secara moral, melalui protes-protes, perundingan di muka umum dan jika perlu dengan pemogokan.Raden Mas Surjopranoto   mengusulkannya  pembentukan “Persatuan Perhimpunan Kaum Buruh” (PPKB) yang beranggotakan perkumpulan-perkumpulan  buruh  yang  ada di bawah naungan SI."
Mohammad Hoesni Thamrin ,No Sk 175  Tahun  1960,28  Juli  1960,1960,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/4.jpg,16 Februari 1894,"Weltevreden, Batavia(Jakarta, Indonesia)",11 Januari 1941,"Senen,Batavia (Jakarta, Indonesia)","Karet Bivak, Jakarta","Politikus dan Aktifis Kemerdekaan. Tokoh Betawi yang pertama kali menjadi anggota Volksraad (“Dewan Rakyat”) di Hindia Belanda, mewakili kelompok Inlanders (“pribumi”).Thamrin merupakan anggota Dewan Kota yang sering menyaksikan keadaan rakyat dan membuatnya berpidato agar pemerintah segera berupaya untuk memperbiki kampung-kampung di Jakarta. Thamrin kemudian menjadi ketua Kaum Betawi. Kemudian pada tahun 1927, Thamrin alias Mat Seni dilantik menjadi anggota Volksraad.Pada 27 Januari 1930 dibentuk “Fraksi Nasional” dalam Volksraad yang diketuain oleh Thamrin, dan kemudian Thamrin membentuk “Fonds Nasional”. Thamrin juga menjadi ketua Pemufakatan Perhimpunan-perhimpunan Politik Kebangsaan Indonesia (PPPKI) .Thamrin juga menjadi anggota Vereniging van Indonesia Akademici (VLA) dan menjadi anggota Partai Indonesia Raya (Parindra). Pada 1939 Parindra yang diwakili oleh Thamrin bergabung dalam Gabungan Politik Indonesia (GAPI) dengan tujuan “Indonesia Berpalemen”,Masyarakat Jakarta menngenang jasa-jasa M.H. Thamrin sepanjgan masa dan telah memberikannya nama sebagai Abang Betawi atau Abang Jakarta. Cita-citanya untuk kepentinngan rakyat diteruskan dalam “Proyek M.H. Thamrin”."
KH. Samanhudi ,No Sk 590  Tahun  1961,09 November 1961,1961,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/5.jpg,1878,"Laweyan, Surakarta, Jawa Tengah",28 Desember 1956,"Klaten, Jawa Tengah","Sukoharjo, Jawa Tengah","Pejuang   Kemerdekaan   Indonesia.    Pendiri dan Ketua Sarekat Dagang Islam (SDI).K.H. Samanhudi Bersama R.M. Umar Said Cokroaminoto mengusulkan agar keanggotaan SDI tidak terbatas pada kaum dagang saja. Maka perkataan dagang dalam nama perkumpulan SDI sehingga menjadi Sarekat Islam disingkat SIKetua Kehormatan SI (Sarekat Islam).Pendiri Barisan Pemberontak Indonesia Cabang Solo dan Gerakan Persatuan Pancasila untuk melawan Belanda, serta membentuk laskar Gerakan Kesatuan Alap- alap."
H.O.S. Cokroaminoto ,No Sk 590  Tahun  1961,09 November 1961,1961,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/6.jpg,16 Agustus 1882,Desa Bukur Ma,17 Desember 1934,"Yogyakarta, Indonesia","Pekuncen, Wirobrajan, Yogyakarta","Guru para pemimpin-pemimpin besar di Indonesia. Seorang pengacara pembela anggota SI yang dituduh. Pelopor pergerakan di Indonesia. Sosok pemikir dan pemimpin organisasi SI (Sarekat Islam).Tjokroaminoto dapat menghimpun dan memberikan pengaruh bagi rakyat seantero Jawa dan luar Jawa yang membuat Pemerintah Kolonial Hindia Belanda khawatir karena pengaruhnya begitu besar dalam masyarakat.Selain sibuk memimpin SI, Cokroaminoto juga aktif menulis di berbagai majalah dan surat kabar. Demi kepentingan SI, ia mendirikan N.V. Setia yang menerbitkan harian Utusan Hindia yang langsung dipimpinnya sendiri. Tulisan-tulisannya dalam harian itu sangat tajam dalam mengecam pemerintah kolonial.Tjokroaminoto memperjuangkan terbentuknya Dewan Perwakilan Rakyat yang sebenarnya, dengan anggota-anggotanya terdiri dari orang- orang yang dipilih oleh rakyat.Konsep pemikiran “Sosialisme dan Islam” Tjokroaminoto memang menjadi daya tarik tersendiri untuk dipelajari, bahkan hingga kini pemikiran dan sumbangsihnya tak lekang oleh zaman."
Danudirja Setiabudi ,No Sk 590  Tahun  1961,09 November 1961,1961,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/7.jpg,8 Oktober 1879,"Pasuruan, Jawa Timur",28 Agustus 1950,"Bandung,Jawa Barat","Cikutra,   Bandung","Pejuang Pergerakan Kemerdekaan Indonesia, Politikus, Wartawan,  Aktivis, Penulis. Salah satu dari “Tiga Serangkai”. Penggagas nama “Nusantara”. Peletak dasar nasionalisme Indonesia di awal abad ke-20Pendiri Indische Partij pada 1912. Indiesche Partij mempropangandakan cita-cita kemerdekaan sehingga memiliki banyak anggota sampai sekitar 7.500 orang dari 30 cabangDouwes Dekker dibuang ke Belanda karena menentang perayaan 100 tahun Belanda merdeka dari Prancis di Hindia Belanda. Di Belanda, ia belajar ilmu ekonomi sambil bergambung dengan Indiesche Vereeniging (Perhimpunan Indonesia). Kemudian ia mendirikan National Indische Partij pada 1919.Mendirikan sekolah Ksatrian Institut, sebuah sekolah yang menitik beratkan pada pengajaran yang membentuk jiwa nasionalis.Menjadi guru besar pada Akademi Ilmu Politik dan anggota Dewan Pertimbangan Agung. Dalam Kabinet Syahrir III, ia diangkat menjadi Menteri Negara dan juga sebagai penasehat delegasi RI dalam perundingan-perundingan dengan Belanda"
Si Singamangaradja  XII ,No Sk 590  Tahun  1961,09 November 1961,1961,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/8.jpg,18 Februari 1849,"Bakkara, Tapanuli,Sumatra Utara",17 Juni 1907,"Desa SiOnom Hudon, perbatasan Kabupaten Tapanuli Utara danKabupaten Dairi","Balige, Tobasa","Raja Sisingamangaraja XII berjuang menentang kekuasaan Belanda di Tapanuli, Sumatera Utara. Dengan dukungan rakyatnya, tahun 1877 ia menyatakan perang kepada Belanda. Perang panjang pun berlangsung bermula di Bahal Batu, Humbang dan berikutnya meluas di selutuh Tanah Batak bahkan Belanda mengerahkan pasukannya dari Singkil Aceh.Pada tahun 1877 para misionaris di Silindung dan Bahal Batu meminta bantuan kepada pemerintah kolonial Belanda dari ancaman diusir oleh Singamangaraja XII. Kemudian pemerintah Belanda dan para penginjil sepakat untuk tidak hanya menyerang markas Si Singamangaraja XII di Bakara tetapi sekaligus menaklukkan seluruh Toba.Sebelum Sisingamangaraja XII gugur, ia sempat ditawari untuk diangkat sebagai Sultan atas Tanah Batak oleh Gubernur Belanda Van Daalen. Bahkan Sang Gubernur sendiri berjanji akan menyambut kehadirannya dengan seremonial tembakan meriam 21 kali. Akan tetapi, Sisingamangaraja XII menolaknya bahkan semakin gencar melakukan perlawanan."
Dr. G.S.S.J Ratulangie ,No Sk 590  Tahun  1961,09 November 1961,1961,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/9.jpg,5 November 1890,"Tondano, Sulawesi Utara",30 Juni 1949,"Jakarta,Indonesia","Tondano, Sulawesi Utara","Waktu belajar di Negeri Belanda Sam Ratulangi masuk menjadi anggota Indise Vereniging, Perhimpunan Mahasiswa Indonesia yang kemudian berganti nama menjadi “Perhimpunan Indonesia”.Sam Ratulangi sangat berjasa bagi rakyat Minahasa. Ia telah berhasil menghapuskan kerja paksa (rodi), menyelenggarakan transmigrasi, mendirikan yayasan dana belajar.Dia juga turut andil dalam proklamasi kemerdekaan. Usai Bung Karno dan Bung Hatta memimpin proklamasi, Sam Ratulangi diangkat sebagai Gubernur Sulawesi.Ia membawa kabar kemerdekaan ke Sulawesi. Proklamasi Kemerdekaan berkumandang pada 17 Agustus 1945. Namun di Sulawesi proklamasi baru didengar dua hari setelahnya. pada tanggal 19 Agustus 1945 Gubernur Ratulangi mengumumkan secara resmi Proklamasi Kemerdekaan Indonesia. Ia membacakan kembali bunyi naskah Proklamasi Kemerdekaan 17 Agustus 1945 di hadapan pemuka-pemuka rakyat Sulawesi."
DR.  Sutomo ,No Sk 657  Tahun  1961,27  Desember  1961,1961,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/10.jpg,30 Juli 1888,"Ngepeh, Loceret, Nganjuk,Jawa Timur",30 Mei 1938,"Surabaya,Jawa Timur","Bubutan, Surabaya","Sutomo bersama Suraji, Moh. Saleh, Sarwono, Gunawan, Gumbrek dan Angka, mahasiswa STOVIA,  berperan besar atas terbentuknya  Budi  Utomo, Organisasi Modern Pertama di Indonesia.Sutomo selama melanjutkan Pendidikan di Belanda,  bergabung dengan  ”Indische Vereeniging”,  yang  berganti  menjadi ”Indonesische Vereniging” dan  menjadi Perhimpunan Indonesia. Sutomo memimpin organisasi tersebut  pada periode 1920-1921.Sutomo bekerja sebagai dosen di NIAS (Nederlandsch Indische Artsen School) di Surabaya dan mendirikan ”Indonesische Studie Club” (ISC)   pada tanggal 11 Juli 1924 yang kemudian berubah menjadi partai ”Persatuan Bangsa Indonesia” (PBI). Melalui PBI  kegiatan di bidang sosial ekonomi semakin menonjol  dapat dilihat dengan berdirinya Rukun Tani, Rukun Pelayaran, Serikat Buruh, Koperasi, Bank Kredit, Pemeliharaan yatim-piatu.Sutomo  masuk ke dalam politik praktis, dengan menjadi anggota Dewan Kota (Gemeenteraad) Surabaya dan melalui organisasi tersbeut Sutomo memperjuangkan nasib rakyat"
